Buch;Stufe;Fach;Verlag;Preis
Natur und Technik 5 Biologie ;5;NuT/Biologie;Buchner;1,7
Deutschbuch 5;7;Deutsch;Cornelsen;1,5
Green Line 1;5;Englisch;Klett;3
Abenteuer Ethik 5;5;Ethik;Buchner;1,7
Diercke 5;5;Geographie;Westermann;5
Lambacher Schweizer 5;5;Mathematik;Klett;3
Ortswechsel Plus 5;5;ev. Religion;Claudius;1
Leben gestalten 5;5;kath. Religion;Klett;1
Natur und Technik 6 Biologie ;6;NuT/Biologie;Buchner;1,7
Natur und Technik 6 Informatik;6;NuT/Biologie;Buchner;1,7
Deutschbuch 6;6;Deutsch;Cornelsen;1,5
Green Line 2;6;Englisch;Klett;3
Abenteuer Ethik 6;6;Ethik;Buchner;1,7
Découvertes 1;6;Französisch;Klett;3
Das waren Zeiten 1;6;Geschichte;Buchner;1,7
Campus C1;6;Latein;Buchner;1,7
Lambacher Schweizer 6;6;Mathematik;Klett;3
Ortswechsel Plus 6;6;ev. Religion;Claudius;1
Religion vernetzt 6;6;kath. Religion;Cornelsen;1,5
Natur und Technik 7 Informatik;7;NuT/Biologie;Buchner;1,7
Deutschbuch 7;7;Deutsch;Cornelsen;1,5
Green Line 3;7;Englisch;Klett;3
Abenteuer Ethik 7;7;Ethik;Buchner;1,7
Découvertes 2 ;7;Französisch;Klett;3
Terra Geographie 7;7;Geographie;Klett;3
Das waren Zeiten 2;7;Geschichte;Buchner;1,7
Campus C2;7;Latein;Buchner;1,7
Lambacher Schweizer 7;7;Mathematik;Klett;3
Duden Physik  7;7;NuT/Physik;Cornelsen;1,5
Ortswechsel Plus 7;7;ev. Religion;Claudius;1
Religion vernetzt 7;7;kath. Religion;Cornelsen;1,5
Biologie 8;8;Biologie;Buchner;1,7
Galvani Band 1;8;Chemie;Cornelsen;1,5
Deutschbuch 8;8;Deutsch;Cornelsen;1,5
Green Line 4;8;Englisch;Klett;3
Abenteuer Ethik 8;8;Ethik;Buchner;1,7
Découvertes 3 ;8;Französisch;Klett;3
Das waren Zeiten 3;8;Geschichte;Buchner;1,7
Campus C3;8;Latein;Buchner;1,7
Lambacher Schweizer 8;8;Mathematik;Klett;3
Duden Physik  8;8;Physik;Cornelsen;1,5
Ortswechsel Plus 8;8;ev. Religion;Claudius;1
Leben gestalten 8;8;kath. Religion;Klett;1
Encuentros hoy 1;8;Spanisch;Cornelsen;2,99
Saldo Wirtschaft und Recht 8;8;Wirtschaft und Recht;Westermann;5
Biologie 9 ;9;Biologie;Buchner;1,7
Chemie Bayern 9 NTG;9;Chemie;Buchner;1,7
Chemie Bayern 9 SG;9;Chemie;Buchner;1,7
Green Line 5;9;Englisch;Klett;3
Abenteuer Ethik 9;9;Ethik;Buchner;1,7
Découvertes 4;9;Französisch;Klett;3
Das waren Zeiten 4;9;Geschichte;Buchner;1,7
Informatik 9 NTG;9;Informatik;Buchner;1,7
Legamus Plus 1 Lateinisches Lesebuch;9;Latein;Cornelsen;1,5
Lambacher Schweizer 9;9;Mathematik;Klett;3
Duden Physik 9;9;Physik;Cornelsen;1,5
Ortswechsel Plus 9;9;ev. Religion;Claudius;1
Encuentros hoy 2;9;Spanisch;Cornelsen;2,99
Wirtschaftsinformatik 9;9;Wirtschaftsinformatik;Buchner;1,7
Biologie 10;10;Biologie;Buchner;1,7
Chemie 10 NTG;10;Chemie;Buchner;1,7
Chemie 10 SG;10;Chemie;Buchner;1,7
Deutschbuch 10;10;Deutsch;Cornelsen;1,5
Green Line 6;10;Englisch;Klett;3
Abenteuer Ethik;10;Ethik;Buchner;1,7
Découvertes 5;10;Französisch;Klett;3
Terra 10;10;Geographie;Klett;3
Das waren Zeiten 5;10;Geschichte;Buchner;1,7
Informatik 10 NTG;10;Informatik;Buchner;1,7
Legamus Plus 2 Lateinisches Lesebuch;10;Latein;Cornelsen;1,5
Lambacher Schweizer 10;10; Mathematik;Klett;3
Duden Physik 10;10;Physik;Cornelsen;1,5
Ortswechsel Plus 10;10;ev. Religion;Claudius;1
Politik aktuell 10;10;Sozialkunde;Buchner;1,7
Encuentros hoy 3;10;Spanisch;Cornelsen;2,99
Wirtschaftsinformatik 10;10;Wirtschaftsinformatik;Buchner;1,7
Deutschbuch 11;11;Deutsch;Cornelsen;1,5
